Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA20,Upper Band,Lower Band
2025-08-10,116462.25000000,119311.11000000,116460.63000000,119294.01000000,14322.77073000,2025-08-10 23:59:59.999,1694198747.87187080,2317065,8023.43513000,949082473.72132200,116787.5925,121074.56935565773,112500.61564434227
2025-08-11,119294.27000000,122335.16000000,118050.11000000,118686.00000000,26494.33429000,2025-08-11 23:59:59.999,3194611530.54106930,4021743,13243.42946000,1596640461.64307680,116724.17150000001,120848.32424414592,112600.01875585411
2025-08-12,118686.00000000,120324.43000000,118207.47000000,120134.08000000,16720.10893000,2025-08-12 23:59:59.999,1992762473.58525770,2737841,9265.05962000,1104367998.19617160,116793.076,121102.06912405539,112484.08287594462
2025-08-13,120134.09000000,123667.79000000,118920.92000000,123306.43000000,23210.07102000,2025-08-13 23:59:59.999,2811581348.38745740,3712817,11931.26825000,1446045988.04831460,117041.348,122211.91686085961,111870.77913914039
2025-08-14,123306.44000000,124474.00000000,117180.00000000,118295.09000000,27980.94758600,2025-08-14 23:59:59.999,3359128391.10852380,4350449,13402.07847600,1608719584.86973360,117075.38700000002,122270.74173925724,111880.0322607428
2025-08-15,118295.09000000,119216.82000000,116803.99000000,117342.05000000,13623.33874000,2025-08-15 23:59:59.999,1607609329.68510110,2895016,6141.41708000,724799635.81724670,117046.48999999999,122228.47663007298,111864.503369927
2025-08-16,117342.04000000,117898.99000000,117143.98000000,117380.66000000,6393.68117000,2025-08-16 23:59:59.999,751719391.77236380,1179842,2995.22865000,352158781.09645510,116944.7455,122009.46072039145,111880.03027960856
2025-08-17,117380.66000000,118575.00000000,117172.21000000,117405.01000000,5898.64192000,2025-08-17 23:59:59.999,695629197.90380730,1177563,2804.73113000,330799448.09036540,116911.88,121954.54291551164,111869.21708448837
2025-08-18,117405.01000000,117543.75000000,114640.14000000,116227.05000000,17745.93954000,2025-08-18 23:59:59.999,2053814085.47177750,3346280,7647.70667000,885108979.48874850,116825.69449999998,121852.49207308782,111798.89692691214
2025-08-19,116227.05000000,116725.69000000,112732.58000000,112872.94000000,18065.47424000,2025-08-19 23:59:59.999,2065010895.85846640,3291182,8609.41370000,984093545.59442210,116577.32650000001,121876.53014011067,111278.12285988935
2025-08-20,112872.95000000,114615.38000000,112380.00000000,114271.24000000,15636.34194000,2025-08-20 23:59:59.999,1776149566.12477360,2998370,7209.58575000,819330970.21586190,116502.6845,121891.41822108123,111113.95077891878
2025-08-21,114271.23000000,114821.76000000,112015.67000000,112500.00000000,10839.69235000,2025-08-21 23:59:59.999,1227373788.61556290,2357380,5346.48007000,605400341.45449280,116462.78799999999,121962.10546944798,110963.47053055199
2025-08-22,112500.00000000,117429.05000000,111684.79000000,116935.99000000,23128.09037000,2025-08-22 23:59:59.999,2656625122.27778650,3438518,11843.59711000,1359907711.87266930,116682.27000000002,121864.70646316276,111499.83353683728
2025-08-23,116936.00000000,117030.00000000,114560.00000000,115438.05000000,11329.36197000,2025-08-23 23:59:59.999,1308825428.01435860,1559569,5083.35014000,587273893.13144330,116743.7325,121830.93633002994,111656.52866997005
2025-08-24,115438.06000000,115666.68000000,110680.00000000,113493.59000000,21175.98462000,2025-08-24 23:59:59.999,2411284606.18917640,2573906,9325.06710000,1061855201.33431230,116665.6605,121907.55868436451,111423.76231563548
2025-08-25,113493.59000000,113667.28000000,109274.10000000,110111.98000000,25182.79379000,2025-08-25 23:59:59.999,2805570653.63102300,4695718,11387.58170000,1269662985.34417990,116464.772,122380.51141591565,110549.03258408434
2025-08-26,110111.98000000,112371.00000000,108666.66000000,111763.22000000,18452.43877000,2025-08-26 23:59:59.999,2033437347.49993920,4077474,9863.43157000,1087468493.59696390,116303.31950000001,122554.98642464644,110051.65257535358
2025-08-27,111763.22000000,112625.00000000,110345.42000000,111262.01000000,13392.60875000,2025-08-27 23:59:59.999,1493774927.19083180,3111496,6261.84550000,698586344.17747960,115992.81949999998,122606.467602927,109379.17139707296
2025-08-28,111262.01000000,113485.90000000,110862.42000000,112566.90000000,11104.27744000,2025-08-28 23:59:59.999,1250788481.94532180,2066780,5139.46509000,578866003.68381480,115787.42750000002,122565.0192508134,109009.83574918663
2025-08-29,112566.90000000,112638.64000000,107463.90000000,108377.40000000,22580.31045000,2025-08-29 23:59:59.999,2475492492.57752970,3606959,10616.35644000,1164321513.10445710,115383.18500000001,122913.88978824313,107852.48021175689
2025-08-30,108377.40000000,108926.15000000,107350.10000000,108816.33000000,10708.39159000,2025-08-30 23:59:59.999,1160666772.73875230,1411040,5797.17783000,628457794.84340100,114859.301,122696.05164091861,107022.5503590814
2025-08-31,108816.33000000,109480.02000000,108076.93000000,108246.35000000,9489.51596000,2025-08-31 23:59:59.999,1031806894.35133180,1366633,4573.61058000,497406888.16918830,114337.31850000001,122485.39310593424,106189.24389406577
2025-09-01,108246.36000000,109912.40000000,107255.00000000,109237.42000000,16053.60219000,2025-09-01 23:59:59.999,1742516638.78113520,2729384,7532.99101000,817730948.98443340,113792.4855,121763.84845336761,105821.12254663238
2025-09-02,109237.43000000,111771.52000000,108393.39000000,111240.01000000,18510.28756000,2025-09-02 23:59:59.999,2042681451.90163840,2596328,9088.71727000,1003032805.53679950,113189.1645,119846.92683131369,106531.40216868631
2025-09-03,111240.01000000,112575.27000000,110528.71000000,111705.71000000,11773.72084000,2025-09-03 23:59:59.999,1313762617.34366450,2214249,5539.29462000,618293676.50751790,112859.69549999999,119092.15234578188,106627.23865421809
2025-09-04,111705.72000000,112180.00000000,109329.12000000,110730.87000000,12203.13536000,2025-09-04 23:59:59.999,1349031325.53208460,2230255,6070.78151000,670681185.82571010,112529.1365,118454.31423546781,106603.95876453217
2025-09-05,110730.87000000,113384.62000000,110206.96000000,110659.99000000,21587.40888000,2025-09-05 23:59:59.999,2413132200.62332500,2970419,10787.81127000,1206066261.22720100,112193.10299999997,117707.86369605662,106678.34230394333
2025-09-06,110660.00000000,111307.70000000,109977.00000000,110187.97000000,5000.29897000,2025-09-06 23:59:59.999,552785936.54346990,795201,2308.83297000,255237426.94601100,111832.251,116831.45265717279,106833.04934282722
2025-09-07,110187.98000000,111600.00000000,110180.00000000,111137.34000000,5681.29944000,2025-09-07 23:59:59.999,630447950.15886890,874961,2570.85199000,285303923.54046230,111577.76549999998,116133.51299534652,107022.01800465344
2025-09-08,111137.35000000,112924.37000000,110621.78000000,112065.23000000,11582.40211000,2025-09-08 23:59:59.999,1295903862.46496030,1744598,5531.65969000,618773275.35763070,111537.37999999998,116058.97711600707,107015.78288399288
2025-09-09,112065.23000000,113293.29000000,110766.66000000,111546.39000000,15379.28248000,2025-09-09 23:59:59.999,1721465997.90636600,2143242,7597.38038000,849973176.17756840,111401.1375,115736.25341739447,107066.02158260552
